chain,platform,pool_tokens,pool_rewards,liquidity_locked,apy,apy_max
arbitrum,saddle,"['FRAX', 'USDC']",['SDL'],"$1,212,720.08",116.74%,206.57%
ethereum,templedao,['FRAX'],"['FXS', 'TEMPLE']","$4,229,381.62",111.56%,557.78%
ethereum,convex,"['FRAX', 'USDC', 'LUSD']","['CRV', 'CVX']","$259,375.79",86.63%,86.63%
ethereum,convex,['FRAX'],['FXS'],$0.00,86.63%,86.63%
moonriver,beefy_finance,['FRAX'],['FRAX'],"$31,409.66",76.67%,76.67%
moonbeam,moonwell,['FRAX'],['FRAX'],"$488,389.18",67.61%,67.61%
moonriver,moonwell,['FRAX'],['FRAX'],"$488,389.18",67.61%,67.61%
ethereum,convex,"['FRAX', 'USDC', 'BUSD']","['CRV', 'CVX']","$90,429.19",65.72%,65.72%
ethereum,convex,['FRAX'],['FXS'],"$1,154.04",61.30%,235.75%
ethereum,pickle,['FXS'],['FXS'],"$12,210.07",59.00%,59.00%
ethereum,stakedao,"['sfrxETH', 'wstETH', 'rETH']","['SDT', 'BAL']",$24.85,58.39%,58.39%
ethereum,uniswap_v3,"['FRAX', 'USDC']","['FXS', 'FRAX', 'USDC']","$89,915,590.11",49.92%,181.07%
ethereum,stakedao,"['FRAX', 'DAI', 'USDC', 'USDT']","['FXS', 'SDT']","$1,169,692.90",45.66%,228.32%
ethereum,convex,['FRAX'],['FXS'],"$613,385.65",42.69%,144.96%
ethereum,convex,"['FRAX', 'FEI', 'alUSD']","['CRV', 'CVX']","$1,542.37",40.28%,40.28%
ethereum,uniswap_v3,"['FRAX', 'DAI']","['FXS', 'FRAX', 'DAI']","$16,904,138.61",36.07%,58.36%
ethereum,tokemak,['FXS'],['TOKE'],"$4,032,640.83",34.55%,34.55%
ethereum,convex,['FRAX'],"['FXS', 'CRV', 'CVX']",$0.00,34.48%,34.48%
ethereum,vesper,['FRAX'],"['FXS', 'VSP']","$3,821,936.58",29.98%,149.92%
moonbeam,stellaswap,"['FRAX', 'USDT', 'BUSD', 'USDC']","['STELLA', 'GLMR']","$9,606.98",28.91%,28.91%
ethereum,convex,['FRAX'],"['FXS', 'CRV', 'CVX']",$0.00,26.42%,26.42%
avalanche,echidna,"['FRAX', 'USDC']",['ECD'],"$1,806.55",21.10%,84.41%
avalanche,platypus,"['FRAX', 'USDC']",['PTP'],"$1,806.55",21.10%,84.41%
avalanche,vector,"['FRAX', 'USDC']",['PTP'],"$1,806.55",21.10%,84.41%
ethereum,frax,['FXS'],['FXS'],"$230,644,959.09",18.59%,74.36%
ethereum,fxs,['FXS'],['FXS'],"$230,644,959.06",18.50%,74.00%
ethereum,convex,"['FRAX', 'USDC', 'pUSD']","['CRV', 'CVX']","$1,154.04",17.68%,17.68%
