date,Bitcoin,Ethereum
2022-04-21,770787243369.5001,359917773311.257
2022-04-22,756144456297.8489,357702343019.6129
2022-04-23,752414150959.3553,354358143094.8383
2022-04-24,752446283899.8965,352895958715.2752
2022-04-25,770112436973.4149,362590296737.94165
2022-04-26,725434540422.046,338098235743.8579
2022-04-27,746473028158.29,348355348857.35516
2022-04-28,756090806420.8264,353388170472.60077
2022-04-29,735829877665.6912,340291788026.5969
2022-04-30,719611115951.2947,330211251741.10095
2022-05-01,733294957352.5364,341626180826.6119
2022-05-02,733787526677.6703,345080135066.0433
2022-05-03,718542028695.8999,336655132684.7217
2022-05-04,755764276888.7715,355229761723.3485
2022-05-05,696020943881.887,332103738939.991
2022-05-06,687093350325.4445,325971900416.40796
2022-05-07,678702448510.6605,319030900103.94275
2022-05-08,648514321641.9902,304412453306.29724
2022-05-09,576197842487.6378,271594796946.79037
2022-05-10,590644412746.6844,283082341315.2594
2022-05-11,549294001873.1765,250066823474.8895
2022-05-12,555266177876.6213,238137944005.85858
2022-05-13,558053182541.2809,243391440608.9294
2022-05-14,573777699744.01,249319115268.20465
2022-05-15,596346266888.6597,259350256988.01163
2022-05-16,569801943005.2971,244741893933.73114
2022-05-17,581272773175.8237,253640825085.77072
2022-05-18,547927169401.20306,232056327519.7834
2022-05-19,578678245847.8763,244359004842.60373
2022-05-20,557201657280.7389,237366807798.8157
2022-05-21,561696351558.8424,239102942424.56775
2022-05-22,578090387085.146,247730054115.44598
2022-05-23,555459414424.212,238722810744.1854
2022-05-24,564885248021.9939,239375431792.86758
2022-05-25,563577022957.9133,235347664835.4594
2022-05-26,559066076343.6685,219247293980.15558
2022-05-27,545752899521.8662,208622909553.50162
2022-05-28,554938694217.2793,217791356992.8858
2022-05-29,561771345708.952,219535934457.98206
2022-05-30,604926607440.7722,241204871683.00946
2022-05-31,607393396318.7885,235235428449.11987
2022-06-01,569001624438.0176,221596716649.26758
2022-06-02,580863150152.0535,222487488380.58923
2022-06-03,566275595800.1772,214879733566.94196
2022-06-04,568340135127.331,217832477905.49496
2022-06-05,570209935092.4275,218561175507.6209
2022-06-06,597966736176.5532,225224111085.68793
2022-06-07,597205650752.5386,220727955347.00992
2022-06-08,576238781341.3682,217320792647.69748
2022-06-09,573819802894.6453,216720355679.05618
2022-06-10,554622874799.0432,201384347491.6296
2022-06-11,540789214973.6274,185302828001.8518
2022-06-12,514202090511.0678,176649606143.59042
2022-06-13,429492202561.014,146072737222.6309
2022-06-14,423044474596.5387,146866764082.71503
2022-06-15,429887916884.8431,148791271623.67947
2022-06-16,389181727345.57733,129200159744.2964
2022-06-17,391441740414.39136,132057112459.09528
2022-06-18,362303884192.0101,120148911164.20312
2022-06-19,390555374756.5322,136214925416.2125
2022-06-20,392793374515.9921,136360308696.36774
2022-06-21,395059669321.2376,136466936749.80061
2022-06-22,381616262301.266,127762640725.99548
2022-06-23,402495826231.42053,138845063633.00702
2022-06-24,407086114490.3726,150370804175.61023
2022-06-25,410110791491.05475,150822450290.39703
2022-06-26,401645800330.4072,145727702946.91232
2022-06-27,395914576106.05786,144903396178.83267
2022-06-28,386606940573.39575,138578887988.78128
2022-06-29,384067866465.5609,133275228451.34706
2022-06-30,365984224323.45276,125647331913.1351
2022-07-01,370916529918.7163,128274306967.60861
2022-07-02,367706689137.568,127772810160.63632
2022-07-03,368549364135.05225,128552380046.80464
2022-07-04,386425176262.77844,137709680960.0187
2022-07-05,385301783065.72974,135655130079.77824
2022-07-06,392479833070.6018,142216914175.49112
2022-07-07,414055638573.8548,148622605231.4957
2022-07-08,417690286504.50726,148022842649.44733
2022-07-09,412459838738.2113,145667751203.8659
2022-07-10,398249545888.6735,139844141994.57858
2022-07-11,382000290322.39886,131363492852.48433
2022-07-12,370191767290.5106,124831295049.54146
2022-07-13,385462566548.9708,132986401488.71631
2022-07-14,393104346702.71136,142767764050.56015
2022-07-15,397285233065.65533,147677565536.3019
2022-07-16,404705642580.89075,161839496479.48514
2022-07-17,397660610560.5498,161551223982.244
2022-07-18,425756736660.6174,187518878564.43118
2022-07-19,445889013251.1064,184299116474.0005
2022-07-20,446130012149.91077,183383314168.63928
2022-07-21,442379611364.02734,188807814065.77225
2022-07-22,433485926857.3929,183933879174.97644
2022-07-23,429803379587.55133,185766674503.14
2022-07-24,433819662321.5266,192833875418.8718
2022-07-25,407480099599.8142,176371406952.78534
2022-07-26,405692421501.52716,172489862867.98703
2022-07-27,437193517021.8447,195761014376.11777
2022-07-28,454806622614.75885,206347207632.4567
2022-07-29,459609388579.5554,210767555013.8352
2022-07-30,451726702392.36206,203433082401.51196
2022-07-31,447051019373.1847,201684547325.2247
2022-08-01,445958949620.3002,195962280445.4563
2022-08-02,440954684720.7478,197496591505.0525
2022-08-03,437035641450.2815,194280005714.29996
2022-08-04,432420621055.8012,192923352504.82288
2022-08-05,443821669890.4801,206550599256.62897
2022-08-06,439414782173.18774,203417937064.14215
2022-08-07,442979379284.1196,203847481552.73074
