name,display_name,change_1d,change_7d,change_1m
TTswap,TTswap,76.24,54.03,22.55
Ubeswap,Ubeswap,6.42,-30.11,-43.97
UltronSwap,UltronSwap,-11.36,10.22,-19.22
Unicly,Unicly,-200,-200,-120
UniFi,UniFi,,,
VanSwap,VanSwap,18.46,-70.39,-49.49
VaporDex,VaporDex,9.58,-48.8,258.31
Veax,Veax,865.7,99.81,192.66
Velocimeter V2,Velocimeter V2,-72.75,-76.62,-5.07
Velodrome V1,Velodrome V1,46.89,-12.49,6.31
Velodrome V2,Velodrome V2,50.38,,
VeniceSwap,VeniceSwap,-42.5,-6.16,-17.02
Verse,Verse,-53.01,-78.86,-97.16
Vertex Protocol,Vertex Protocol,130.83,18.01,-55.99
Vexchange,Vexchange,-36.53,52.36,-79.57
ViperSwap,ViperSwap,,,
Voltage,Voltage,35.44,34.33,88.27
VoltSwap V2,VoltSwap V2,-69.61,-12.99,-0.88
Voodoo Trade,Voodoo Trade,,,
Vortex Protocol,Vortex Protocol,2344.33,1768.11,427.75
VVS Finance,VVS Finance,31.03,-1.47,10.28
WAGMI,WAGMI,8391.96,15953.89,4388.67
WagyuSwap,WagyuSwap,25.93,143.8,2.67
WanSwap Dex,WanSwap Dex,-49.22,-36.1,184.57
WardenSwap,WardenSwap,75.47,1.26,260.65
Wavelength DAO,Wavelength DAO,95.9,-68.83,970.78
WEMIX.FI AMM,WEMIX.FI AMM,143.79,276.93,-95.92
WhaleSwap,WhaleSwap,978.15,197.3,114.66
WigoSwap,WigoSwap,40.06,88.11,51.17
WinerySwap,WinerySwap,-78.58,-80.39,-86.43
WingRiders,WingRiders,8.52,6.57,-1.81
WingSwap,WingSwap,-56.46,-78.78,-50.46
Wojak Finance,Wojak Finance,13.09,-84.69,-15.51
Wombat Exchange,Wombat Exchange,13.76,15.38,-19.21
WOOFi Swap,WOOFi Swap,-29.63,-31.27,-53.12
WX Network,WX Network,-98.59,-51.96,-99.28
xExchange,xExchange,37.81,40.14,16.21
XSwap Protocol,XSwap Protocol,,,
YieldFields,YieldFields,2.99,-37.18,0.82
Yodeswap,Yodeswap,,,
YokaiSwap,YokaiSwap,54.28,-10.32,-46.68
Yoshi Exchange,Yoshi Exchange,10.94,1158.67,20.93
ZigZag,ZigZag,1.81,-10.48,-28.22
ZilSwap,ZilSwap,-76.26,-49.11,111.26
ZipSwap,ZipSwap,-56.64,-72.97,-63.71
Zircon Gamma,Zircon Gamma,,,
zkSwap Finance,zkSwap Finance,17.96,26,391452.83
Zyberswap AMM,Zyberswap AMM,45.15,16.28,-64.09
Zyberswap V3,Zyberswap V3,130.63,-24.55,-70.7
ZyberSwap Stableswap,ZyberSwap Stableswap,-73.98,290.43,3967.19
Junoswap,Junoswap,,,
Alita Finance,Alita Finance,-24.96,76.45,-5.61
PancakeSwap AMM V1,PancakeSwap AMM V1,,,
PancakeSwap AMM,PancakeSwap AMM,3.82,-37.61,-22.89
PancakeSwap StableSwap,PancakeSwap StableSwap,-1.59,-61.07,5.89
PancakeSwap AMM V3,PancakeSwap AMM V3,49.18,0.98,-21.26
SMBSwap V2,SMBSwap V2,-18.39,-90.32,-93.55
SMBSwap V3,SMBSwap V3,,,
Uniswap V1,Uniswap V1,-39.84,-12.68,-27.4
Uniswap V2,Uniswap V2,-25.76,-42.92,28.2
Uniswap V3,Uniswap V3,80.14,3.83,-32.65
