date,dex_volume
2022-03-31,2196269983.4675713
2022-04-01,2131805953.1912673
2022-04-02,1645733513.9931662
2022-04-03,2130158754.9923315
2022-04-04,1910426913.5707176
2022-04-05,2894275722.2164664
2022-04-06,1983953924.7681925
2022-04-07,2253883155.213084
2022-04-08,1200196184.5662436
2022-04-09,1116240991.9370487
2022-04-10,3065835113.927994
2022-04-11,2334773994.2357993
2022-04-12,1850481204.1407151
2022-04-13,1686445910.8492818
2022-04-14,1198104672.5374777
2022-04-15,696243154.0261656
2022-04-16,1440819809.3607128
2022-04-17,1783962013.770271
2022-04-18,1556251743.5763888
2022-04-19,1961863254.281348
2022-04-20,2015608053.607112
2022-04-21,1499491241.3193555
2022-04-22,903207572.557523
2022-04-23,911102404.81514
2022-04-24,1875630652.876243
2022-04-25,1782746982.6839557
2022-04-26,1490856896.5782132
2022-04-27,2095948288.497287
2022-04-28,2160167718.110996
2022-04-29,2314557320.908821
2022-04-30,1940469656.9674587
2022-05-01,1812863283.2560666
2022-05-02,1663284833.3922215
2022-05-03,2067750090.9298358
2022-05-04,2278406559.486947
2022-05-05,2518532153.483254
2022-05-06,1353982976.8947396
2022-05-07,2315179270.194156
2022-05-08,4140035367.6455493
2022-05-09,3629552332.1893005
2022-05-10,6009338504.607485
2022-05-11,6203053474.846212
2022-05-12,2931290180.766784
2022-05-13,1705323579.0779748
2022-05-14,1361332634.6288264
2022-05-15,2293657314.862448
2022-05-16,1487656101.6919906
2022-05-17,1687383217.7687914
2022-05-18,2004358426.2831216
2022-05-19,1585161028.427398
2022-05-20,792231664.2424002
2022-05-21,903745875.4991461
2022-05-22,1531915806.7424393
2022-05-23,1175340940.5358255
2022-05-24,1313994680.640234
2022-05-25,2521227566.8265743
2022-05-26,2073836351.413988
2022-05-27,1176086881.1017852
2022-05-28,702296635.6121559
2022-05-29,1804283471.7429233
2022-05-30,1441069098.6197708
2022-05-31,1772707351.4557478
2022-06-01,1365795251.8172133
2022-06-02,1141139501.3995864
2022-06-03,818559207.0293912
2022-06-04,824853902.1452287
2022-06-05,1267208011.9933336
2022-06-06,1903844309.4438844
2022-06-07,1497621790.7222786
2022-06-08,931946852.392888
2022-06-09,1699144422.978087
2022-06-10,1805633994.6199613
2022-06-11,2036898333.4326804
2022-06-12,4714226091.97399
2022-06-13,3298241817.814152
2022-06-14,3698672623.1732726
2022-06-15,1988642022.1099389
2022-06-16,1572054938.5065928
2022-06-17,2258491313.8860326
2022-06-18,2093606477.7677724
2022-06-19,1820040946.293919
2022-06-20,1505085219.5554647
2022-06-21,1314246361.090341
2022-06-22,1339590236.2391303
2022-06-23,1329360457.4061344
2022-06-24,828351278.415787
2022-06-25,853589632.356106
2022-06-26,820246450.045714
2022-06-27,1044124288.6146479
2022-06-28,1243144686.6207204
2022-06-29,1389722021.0144858
2022-06-30,1504513195.3497052
2022-07-01,720364601.9915907
2022-07-02,676616520.8897825
2022-07-03,1063300009.4909073
2022-07-04,1298369205.5593169
2022-07-05,1318190046.2693956
2022-07-06,1078854399.2694728
2022-07-07,1369617510.305519
2022-07-08,647642298.1266624
2022-07-09,822512856.6688662
2022-07-10,952907870.815059
2022-07-11,1009729563.5819387
2022-07-12,1306722519.00507
2022-07-13,1170344927.9252977
2022-07-14,1446881193.6642182
2022-07-15,1371910610.9265122
2022-07-16,1305689323.2433064
2022-07-17,2034480927.9826639
2022-07-18,2274540066.9087195
2022-07-19,1879612713.8084223
2022-07-20,1517303156.0393975
2022-07-21,1318892309.3740366
2022-07-22,1091845180.235976
2022-07-23,1200305739.1023333
2022-07-24,1535182555.6821399
2022-07-25,1441477079.369891
2022-07-26,1791309366.1634917
2022-07-27,2112197094.9968104
2022-07-28,1742964024.2054715
2022-07-29,1157712337.2702093
2022-07-30,1049121483.1515294
2022-07-31,1396952468.7844071
2022-08-01,1739330525.2427855
2022-08-02,1183664865.9221685
2022-08-03,1163205995.7820666
2022-08-04,1413813885.7294552
2022-08-05,762184156.1383846
2022-08-06,695277426.1250641
2022-08-07,1405290084.5642462
2022-08-08,1407456035.962898
2022-08-09,1877175563.4911468
2022-08-10,1957855801.2843974
2022-08-11,1174411317.7386606
2022-08-12,1262841038.553223
2022-08-13,1125007722.7751656
2022-08-14,1707565530.4160933
2022-08-15,1250016921.4745467
2022-08-16,1685749455.5538614
2022-08-17,1092878833.9545557
2022-08-18,2218693165.006782
2022-08-19,1535649392.4205158
2022-08-20,1275572701.6521263
2022-08-21,1397651504.3493235
2022-08-22,1721522290.246894
2022-08-23,1192557762.6776147
2022-08-24,963213772.4059147
2022-08-25,1747507173.8911407
2022-08-26,1158188786.844125
2022-08-27,1070702389.3966936
2022-08-28,1314546584.6163058
2022-08-29,1658468797.1388638
2022-08-30,1747264969.118396
2022-08-31,1739894034.4752278
2022-09-01,1452618718.9677253
2022-09-02,717849987.3404837
2022-09-03,702036126.1349863
2022-09-04,949115961.1046109
2022-09-05,1715372179.9064276
2022-09-06,1575585355.4050705
2022-09-07,1204585765.078523
2022-09-08,1337049588.6512341
2022-09-09,965659107.784389
2022-09-10,863118223.0007175
2022-09-11,1299999076.3114846
2022-09-12,2113148558.8334548
2022-09-13,1424968713.0376232
