date,Goldfinch,Centrifuge,Credix
2021-08-19,,1739896.20096,
2021-08-20,,1681376.63157,
2021-08-21,,1684195.21651,
2021-08-22,,1724729.9798,
2021-08-23,,1692299.20224,
2021-08-24,,1531968.16211,
2021-08-25,14796495.9184,1796992.74567,
2021-08-26,14781430.58113,1651355.95005,
2021-08-27,14799812.46664,2014390.94944,
2021-08-28,14826737.06687,2332897.94875,
2021-08-29,14802194.70867,2337412.86958,
2021-08-30,14811249.54788,2089279.04704,
2021-08-31,14885420.47405,2083297.16576,
2021-09-01,14864390.89702,2146284.04767,
2021-09-02,12668545.29358,2139288.20571,
2021-09-03,7826925.11215,2152197.86305,
2021-09-04,7820678.91209,2024341.10895,
2021-09-05,7807831.81964,2021484.76365,
2021-09-06,7829807.10513,2024341.10895,
2021-09-07,7535968.09919,2144148.54729,
2021-09-08,7402410.84919,1980881.07922,
2021-09-09,7481807.84919,1909770.38368,
2021-09-10,7507112.76666,1913782.72802,
2021-09-11,7841669.44009,1935802.05775,
2021-09-12,7751221.19009,1929052.15021,
2021-09-13,7855339.18402,1943857.22032,
2021-09-14,7841584.46008,2012914.75366,
2021-09-15,7841669.44009,2030275.9957,
2021-09-16,12901508.25345,2383282.49485,
2021-09-17,20069168.86533,2408316.9018,
2021-09-18,22207588.68246,2568596.2525,
2021-09-19,23049379.11946,2574904.78775,
2021-09-20,23085725.3279,2551579.05176,
2021-09-21,23253764.97505,2482581.2408,
2021-09-22,22714798.11496,2476937.70552,
2021-09-23,22688780.34496,2493073.54185,
2021-09-24,22704603.69496,2161809.9154,
2021-09-25,22970067.87856,2224151.09577,
2021-09-26,23000982.09257,1900817.80341,
2021-09-27,22990790.23405,1828287.23272,
2021-09-28,23360621.31865,1717277.27168,
2021-09-29,23299169.73381,1637861.50141,
2021-09-30,23368986.76738,1698597.98002,
2021-10-01,23111657.05982,1698597.98002,
2021-10-02,25780822.24673,1952353.00945,
2021-10-03,25786092.64642,1935349.24282,
2021-10-04,25927069.76437,2017487.16667,
2021-10-05,26043405.46899,1807473.52257,
2021-10-06,25474747.93637,1609408.69544,
2021-10-07,25594274.25201,1335000.87518,
2021-10-08,25743988.20665,1094236.09664,
2021-10-09,25814447.91207,1143095.53783,
2021-10-10,25842046.69106,1251559.91789,
2021-10-11,25867949.45378,1291175.36395,
2021-10-12,23597849.41427,1250659.74092,
2021-10-13,23627717.34183,1173812.74092,
2021-10-14,23910688.65757,1207350.01651,
2021-10-15,22960795.71238,800150.50951,
2021-10-16,22834509.96306,800150.50951,
2021-10-17,22890267.64376,792767.95686,
2021-10-18,23680488.90364,862798.3599,
2021-10-19,23729764.98515,734692.01032,
2021-10-20,24339400.72434,1049795.41156,
2021-10-21,24387517.9655,1014193.07013,
2021-10-22,19379410.88952,1012692.97576,
2021-10-23,19575482.26414,815693.33202,
2021-10-24,19603661.91917,804098.90385,
2021-10-25,19402209.75818,814363.85238,
2021-10-26,20047578.78477,514363.85238,
2021-10-27,19822845.91701,518870.18871,
2021-10-28,20070934.50401,849878.47768,
2021-10-29,19589610.26433,849878.47768,
2021-10-30,19580261.45686,849878.47768,
2021-10-31,19511549.77644,849448.43917,
2021-11-01,19521500.02486,849878.47768,
2021-11-02,19426749.07486,817535.0927,
2021-11-03,19552535.89527,443139.06456,
2021-11-04,19241965.94814,456534.8394,
2021-11-05,18760190.72596,456534.8394,
2021-11-06,18679475.60092,365412.92106,
2021-11-07,18946482.33921,773878.55607,
2021-11-08,18043739.62663,873797.19163,
2021-11-09,18010652.63174,932031.53088,
2021-11-10,18094229.29775,880125.39137,
2021-11-11,14163208.91249,885201.62928,
2021-11-12,13665976.52851,775560.44557,
2021-11-13,13948104.76161,1074617.45141,
2021-11-14,14094310.58548,1153183.70398,
2021-11-15,13647026.15064,1141766.04354,
2021-11-16,13538811.30907,1366690.98429,
2021-11-17,13584592.32929,805037.62113,
2021-11-18,13616469.65571,632311.15073,
2021-11-19,13845580.92889,462890.26008,
2021-11-20,13863025.42155,376399.97971,
