date,tvl
"September 30, 2021",6617236505.431636
"October 01, 2021",7114242817.051318
"October 02, 2021",7220803331.175119
"October 03, 2021",7441217914.226036
"October 04, 2021",7300749820.893365
"October 05, 2021",7270422666.658176
"October 06, 2021",6900156536.887867
"October 07, 2021",6649879817.991062
"October 08, 2021",6650989615.888515
"October 09, 2021",6668108736.910409
"October 10, 2021",6535290907.116928
"October 11, 2021",6552348938.511084
"October 12, 2021",6623123167.08055
"October 13, 2021",7787820634.801867
"October 14, 2021",7865264964.54634
"October 15, 2021",7534917474.270774
"October 16, 2021",7621040593.194213
"October 17, 2021",7925872554.557371
"October 18, 2021",7640107856.787092
"October 19, 2021",7461956612.4577265
"October 20, 2021",7466363059.699507
"October 21, 2021",7933436820.409128
"October 22, 2021",7868042413.545567
"October 23, 2021",7707026730.20614
"October 24, 2021",8115070507.764866
"October 25, 2021",8183788321.197724
"October 26, 2021",8449789045.234004
"October 27, 2021",8219139876.217317
"October 28, 2021",7726205439.079442
"October 29, 2021",8027081125.930817
"October 30, 2021",7920353254.540732
"October 31, 2021",7853513235.590639
"November 01, 2021",8115703748.235256
"November 02, 2021",8115212179.729655
"November 03, 2021",8526959834.035631
"November 04, 2021",9794133172.628366
"November 05, 2021",9804364557.208294
"November 06, 2021",9659963036.565056
"November 07, 2021",9961743713.132513
"November 08, 2021",9933530531.072836
"November 09, 2021",10027276058.998833
"November 10, 2021",9708705936.953527
"November 11, 2021",9305929286.202436
"November 12, 2021",9610132339.930677
"November 13, 2021",9509495457.222208
"November 14, 2021",9676660601.62909
"November 15, 2021",9597029011.849987
"November 16, 2021",9400644815.54907
"November 17, 2021",8934429976.347797
"November 18, 2021",8963456376.64507
"November 19, 2021",8284863410.675288
"November 20, 2021",8734078016.64971
"November 21, 2021",8721983483.912748
"November 22, 2021",8701078196.863186
"November 23, 2021",8333533673.425564
"November 24, 2021",8436786677.412666
"November 25, 2021",8548154788.332067
"November 26, 2021",8558940008.689795
"November 27, 2021",7975727437.173484
"November 28, 2021",7977267278.335707
"November 29, 2021",8213629197.083817
"November 30, 2021",8423492803.770423
"December 01, 2021",8477726899.029831
"December 02, 2021",8690625486.114
"December 03, 2021",8573321673.115095
"December 04, 2021",8217718286.1764
"December 05, 2021",7228674574.935174
"December 06, 2021",7090293934.705217
"December 07, 2021",7090818319.8413925
"December 08, 2021",7024538845.855017
"December 09, 2021",7232216943.970762
"December 10, 2021",6951538210.276071
"December 11, 2021",6358872890.016604
"December 12, 2021",6478340402.112033
"December 13, 2021",6562382733.476707
"December 14, 2021",6368195883.796973
"December 15, 2021",6448505134.533641
"December 16, 2021",6774841741.789584
"December 17, 2021",6736445334.89908
"December 18, 2021",6598505687.999944
"December 19, 2021",6914154541.868576
"December 20, 2021",6833148072.621388
"December 21, 2021",6626928722.357166
"December 22, 2021",6822615142.729912
"December 23, 2021",6777634407.327857
"December 24, 2021",7089737849.05712
"December 25, 2021",7064679086.644989
"December 26, 2021",7023307330.518235
"December 27, 2021",7140271136.656402
"December 28, 2021",7050882478.938243
"December 29, 2021",6732377648.475172
"December 30, 2021",6561190253.148346
"December 31, 2021",6432190593.516965
"January 01, 2022",6559829854.874279
"January 02, 2022",6700501937.390087
"January 03, 2022",6704021951.729073
"January 04, 2022",6517690973.206259
"January 05, 2022",6593987447.954793
"January 06, 2022",6238078125.737428
"January 07, 2022",6002713803.477156
"January 08, 2022",5518693722.1249695
"January 09, 2022",5382213689.353885
"January 10, 2022",5476959879.69853
"January 11, 2022",5223230800.98221
"January 12, 2022",5341695413.026171
"January 13, 2022",5472717668.140624
"January 14, 2022",5311961487.368522
"January 15, 2022",5392655939.284383
"January 16, 2022",5518692262.073966
"January 17, 2022",5559393537.129688
"January 18, 2022",5491635456.276015
"January 19, 2022",5487748613.710326
"January 20, 2022",5613992224.118511
"January 21, 2022",5399515575.549978
"January 22, 2022",4843182721.524169
"January 23, 2022",4514168197.657915
"January 24, 2022",4466301675.535609
"January 25, 2022",4376219740.106516
"January 26, 2022",4467853090.915526
"January 27, 2022",4485182523.641948
"January 28, 2022",4429324066.199648
"January 29, 2022",4590744234.723895
"January 30, 2022",4730291106.207333
"January 31, 2022",4600023964.706268
"February 01, 2022",4751626795.368615
"February 02, 2022",4929584825.564308
"February 03, 2022",4223013964.023006
"February 04, 2022",4410536013.814871
"February 05, 2022",4785167922.634215
"February 06, 2022",4875181830.225673
"February 07, 2022",4840454317.100273
"February 08, 2022",4915969583.989771
"February 09, 2022",4860926395.353368
"February 10, 2022",5090786282.663997
"February 11, 2022",4895276508.250616
"February 12, 2022",4686624486.582517
"February 13, 2022",4623671634.687356
"February 14, 2022",4587772050.516592
"February 15, 2022",4634247200.080089
"February 16, 2022",4777078816.369638
"February 17, 2022",4706100608.602379
"February 18, 2022",4573603902.483912
"February 19, 2022",4494109740.235045
"February 20, 2022",4441454303.617006
"February 21, 2022",4452219035.82616
"February 22, 2022",4327820078.613825
"February 23, 2022",4319769338.709823
"February 24, 2022",4170613844.4230137
"February 25, 2022",4254827321.2613797
"February 26, 2022",4295698122.88703
"February 27, 2022",4272832360.1348186
"February 28, 2022",4085776340.8775916
"March 01, 2022",4409302548.089162
"March 02, 2022",4358228041.821643
"March 03, 2022",4297796873.347146
"March 04, 2022",4184239541.7215996
"March 05, 2022",4085354775.48725
"March 06, 2022",4054125002.6071973
"March 07, 2022",4052971282.4275565
"March 08, 2022",3965703555.0161915
"March 09, 2022",3928900001.217203
"March 10, 2022",4137838843.869622
"March 11, 2022",3951124719.3668637
"March 12, 2022",4155248962.387616
"March 13, 2022",4249152046.722158
"March 14, 2022",3989486055.6464124
"March 15, 2022",4221273114.9671392
"March 16, 2022",4170711030.2351775
"March 17, 2022",4205653757.4865274
"March 18, 2022",4109065053.6869655
"March 19, 2022",4387202498.487151
"March 20, 2022",4324845347.670591
"March 21, 2022",4223037740.6153893
"March 22, 2022",4241576802.3047266
"March 23, 2022",4091108109.1188745
"March 24, 2022",4121617331.0787945
"March 25, 2022",4148626288.7415614
"March 26, 2022",4068416158.802877
"March 27, 2022",4302593105.407566
"March 28, 2022",4249579831.054648
"March 29, 2022",4337223935.593786
"March 30, 2022",4273232600.579794
"March 31, 2022",4447464438.741929
"April 01, 2022",4481773935.549104
"April 02, 2022",4731102036.420789
"April 03, 2022",4731619939.898806
"April 04, 2022",4808549261.334736
"April 05, 2022",4825021967.459046
"April 06, 2022",4596447267.82374
"April 07, 2022",4381090584.368882
"April 08, 2022",4024894117.73394
"April 09, 2022",4053305493.4168777
"April 10, 2022",4106559764.0852375
"April 11, 2022",4075997437.43317
"April 12, 2022",3850908986.142378
"April 13, 2022",3860577821.1253314
"April 14, 2022",4089541250.4072475
"April 15, 2022",3971780746.694366
"April 16, 2022",4027227902.246817
"April 17, 2022",3975970068.703168
"April 18, 2022",3890719398.060029
"April 19, 2022",4059997832.147816
"April 20, 2022",4103747231.8558664
"April 21, 2022",4016856794.2296114
"April 22, 2022",3952371779.686606
"April 23, 2022",3842766126.5452905
"April 24, 2022",3965697712.834123
"April 25, 2022",3806204017.052739
"April 26, 2022",3948776648.0905223
"April 27, 2022",3767772454.7790146
"April 28, 2022",3899913937.710999
"April 29, 2022",3882353189.6150184
"April 30, 2022",3838258578.4152217
"May 01, 2022",3555628092.6264668
"May 02, 2022",3632275188.8757977
"May 03, 2022",3644027510.6081796
"May 04, 2022",3654803355.4516797
"May 05, 2022",3775014567.9835334
"May 06, 2022",3607987044.6674185
"May 07, 2022",3575335095.768243
"May 08, 2022",3531183251.851617
"May 09, 2022",3406626645.8504815
"May 10, 2022",2977807175.126602
"May 11, 2022",3013958515.862763
"May 12, 2022",2646294386.359524
"May 13, 2022",2504459606.212142
"May 14, 2022",2507642130.7006207
"May 15, 2022",2573223090.1173964
"May 16, 2022",2736899435.3316903
"May 17, 2022",2709082290.940549
"May 18, 2022",2760557697.761179
"May 19, 2022",2689164260.122803
"May 20, 2022",2752041451.5456514
"May 21, 2022",2611117389.688991
"May 22, 2022",2646259317.718166
"May 23, 2022",2701752751.4710903
"May 24, 2022",2690204544.526628
"May 25, 2022",2645229345.9158177
"May 26, 2022",2630945349.079458
"May 27, 2022",2548304338.8250604
"May 28, 2022",2439119082.208644
"May 29, 2022",2480493181.170932
"May 30, 2022",2516710990.6875863
"May 31, 2022",2524842955.822987
"June 01, 2022",2516158665.838293
"June 02, 2022",2445291701.401632
"June 03, 2022",2374165492.791669
"June 04, 2022",2401273338.6706023
"June 05, 2022",2382381520.3227186
"June 06, 2022",2326809115.6495857
"June 07, 2022",2353306881.888305
"June 08, 2022",2343499272.102227
"June 09, 2022",2472558403.1793346
"June 10, 2022",2451052444.797358
"June 11, 2022",2399527154.2915297
"June 12, 2022",2266955579.9268403
"June 13, 2022",2086163786.3157272
"June 14, 2022",1886743849.4053416
"June 15, 2022",1885685265.5650496
"June 16, 2022",1777838389.4053082
"June 17, 2022",1589345308.723501
"June 18, 2022",1677954890.7954333
"June 19, 2022",1593490911.948574
"June 20, 2022",1634718145.4745324
"June 21, 2022",1617473575.2060933
"June 22, 2022",1632783945.9558024
"June 23, 2022",1619658023.328824
"June 24, 2022",1644565852.6246264
"June 25, 2022",1700058487.1911077
"June 26, 2022",1702348394.0285738
"June 27, 2022",1650112609.8594987
"June 28, 2022",1659111205.2454903
"June 29, 2022",1642495510.9437308
"June 30, 2022",1594453467.1104927
"July 01, 2022",1546761882.421767
"July 02, 2022",1520411161.1787868
"July 03, 2022",1560007875.5325608
"July 04, 2022",1567659501.5602455
"July 05, 2022",1587130691.7373366
"July 06, 2022",1568180234.0363452
"July 07, 2022",1639820852.3910246
"July 08, 2022",1716618196.063896
"July 09, 2022",1704432216.3949125
"July 10, 2022",1695231624.623827
"July 11, 2022",1623069543.12037
"July 12, 2022",1546835450.0320811
"July 13, 2022",1574731158.465781
"July 14, 2022",1594228562.723379
"July 15, 2022",1567742134.8218696
"July 16, 2022",1592615070.3516169
"July 17, 2022",1677703272.528254
"July 18, 2022",1658676775.5149229
"July 19, 2022",1762407731.8063145
"July 20, 2022",1760173296.523189
"July 21, 2022",1718217938.1334043
"July 22, 2022",1718844835.7015448
"July 23, 2022",1672089287.9386098
"July 24, 2022",1656937642.9132814
"July 25, 2022",1666500931.7838085
"July 26, 2022",1630807912.4099588
"July 27, 2022",1587865808.011348
"July 28, 2022",1664868921.5664454
"July 29, 2022",1687931542.6966221
"July 30, 2022",1678108751.4452126
"July 31, 2022",1699096770.9226756
"August 01, 2022",1683230341.2173986
"August 02, 2022",1679080622.0520003
"August 03, 2022",1593423576.2332728
"August 04, 2022",1556349427.0889971
"August 05, 2022",1561474873.5222106
"August 06, 2022",1592143880.9378154
"August 07, 2022",1593641267.8508887
"August 08, 2022",1609396775.7583137
"August 09, 2022",1628721135.358502
"August 10, 2022",1493521432.7751937
"August 11, 2022",1526944860.7491398
"August 12, 2022",1509619440.4956212
"August 13, 2022",1553015306.4462745
"August 14, 2022",1576151154.3393157
"August 15, 2022",1548829255.204031
"August 16, 2022",1546451045.4049146
"August 17, 2022",1636962113.5737035
"August 18, 2022",1564871191.7001011
"August 19, 2022",1549413316.7673802
"August 20, 2022",1476700891.8454633
"August 21, 2022",1496021624.8631902
"August 22, 2022",1504521279.0642047
"August 23, 2022",1483311483.5772338
"August 24, 2022",1463323031.960874
"August 25, 2022",1454699889.8157647
"August 26, 2022",1492940964.5689678
"August 27, 2022",1411100987.1364884
"August 28, 2022",1441163421.196052
"August 29, 2022",1373166568.4807208
"August 30, 2022",1404815010.6014593
"August 31, 2022",1392252544.6507745
"September 01, 2022",1361881247.01998
"September 02, 2022",1442805007.125658
"September 03, 2022",1360380890.465207
"September 04, 2022",1406337032.9007664
"September 05, 2022",1397414721.229772
"September 06, 2022",1408463772.6803002
"September 07, 2022",1368426420.52624
"September 08, 2022",1379816712.587322
"September 09, 2022",1393668073.7706444
"September 10, 2022",1327867081.9462936
"September 11, 2022",1333652409.271615
"September 12, 2022",1295219647.4768107
"September 13, 2022",1374047265.7043216
"September 14, 2022",1276422011.2417903
"September 15, 2022",1289610799.9656782
"September 16, 2022",1241452623.387871
"September 17, 2022",1264934224.55408
"September 18, 2022",1286715017.7620583
"September 19, 2022",1231436589.7254117
"September 20, 2022",1262350330.957051
"September 21, 2022",1243658320.5280397
"September 22, 2022",1219541318.2111626
"September 23, 2022",1257591953.5079305
"September 24, 2022",1264251643.053525
"September 25, 2022",1244624332.6886907
"September 26, 2022",1258446596.6320899
"September 27, 2022",1275010337.8315227
"September 28, 2022",1273380798.6349995
"September 29, 2022",1278224882.9548874
"September 30, 2022",1286594800.0255573
"October 01, 2022",1270947158.4701722
"October 02, 2022",1269914730.0027394
"October 03, 2022",1261058928.3544927
"October 04, 2022",1277330895.2426198
"October 05, 2022",1292017454.0513458
"October 06, 2022",1272291236.3087392
"October 07, 2022",1279855401.5331988
"October 08, 2022",1268997677.9642088
"October 09, 2022",1266587774.1183362
"October 10, 2022",1275911060.7660806
"October 11, 2022",1251671047.3141098
"October 12, 2022",1088956917.7768755
"October 13, 2022",930281776.1176283
"October 14, 2022",876379835.5106392
"October 15, 2022",870005486.4591974
"October 16, 2022",867920068.4832222
"October 17, 2022",926419298.2816434
"October 18, 2022",881394127.6198668
"October 19, 2022",874390336.0458388
"October 20, 2022",867734668.0904552
"October 21, 2022",861524054.7404759
"October 22, 2022",870495027.0774376
"October 23, 2022",874639108.099454
"October 24, 2022",899748356.2282883
"October 25, 2022",889287390.9550073
"October 26, 2022",927105453.6385648
"October 27, 2022",950416681.3549416
"October 28, 2022",950672814.1269817
"October 29, 2022",961034820.2938871
"October 30, 2022",978413919.7688428
"October 31, 2022",967707446.6622646
"November 01, 2022",958169836.8932797
"November 02, 2022",954004581.0205808
"November 03, 2022",974611688.7674
"November 04, 2022",936067030.6006998
"November 05, 2022",958852216.4570534
"November 06, 2022",995863116.6762481
"November 07, 2022",932920482.7569747
"November 08, 2022",852091455.1846781
"November 09, 2022",623565567.7309853
"November 10, 2022",421755423.68274987
"November 11, 2022",456262192.2564321
"November 12, 2022",387625994.5072352
"November 13, 2022",338891481.8780789
"November 14, 2022",321076483.7890589
"November 15, 2022",319651954.9233978
"November 16, 2022",326159940.66440034
"November 17, 2022",334160247.2661593
"November 18, 2022",309863564.36835974
"November 19, 2022",291479294.76109374
"November 20, 2022",289678128.58696866
"November 21, 2022",288440835.9477092
"November 22, 2022",283356897.1434419
"November 23, 2022",283806657.45664096
"November 24, 2022",281174861.3963012
"November 25, 2022",280770758.76010865
"November 26, 2022",281132337.80385095
"November 27, 2022",279756474.5738116
"November 28, 2022",279975439.0151693
"November 29, 2022",278154202.36730415
"November 30, 2022",279863463.68132824
"December 01, 2022",281319725.2242687
"December 02, 2022",301038576.3205935
"December 03, 2022",299777679.08355397
"December 04, 2022",289298864.4092786
"December 05, 2022",289895930.15540665
"December 06, 2022",292632075.9759834
"December 07, 2022",292091932.65169775
"December 08, 2022",292708725.04734623
"December 09, 2022",289271672.8124855
"December 10, 2022",290151020.77229816
"December 11, 2022",289956995.7012353
"December 12, 2022",288187868.97946763
"December 13, 2022",287152589.00619495
"December 14, 2022",289357833.7897102
"December 15, 2022",289401505.9449408
"December 16, 2022",289320518.5961678
"December 17, 2022",258950517.07786176
"December 18, 2022",257498849.78641388
"December 19, 2022",254818930.34652364
"December 20, 2022",253071439.49527863
"December 21, 2022",240267538.22144842
"December 22, 2022",239369338.03046697
"December 23, 2022",228149104.1813531
"December 24, 2022",217534243.8091721
"December 25, 2022",216995454.56655115
"December 26, 2022",216538004.7373045
"December 27, 2022",214044861.72991493
"December 28, 2022",212423670.1352209
"December 29, 2022",226910886.10659766
"December 30, 2022",205693867.8656144
"December 31, 2022",204984785.69458625
"January 01, 2023",205106009.72424915
"January 02, 2023",204715653.74121484
"January 03, 2023",211628775.382102
"January 04, 2023",226862166.11255813
"January 05, 2023",229120474.89347565
"January 06, 2023",229975269.03203744
"January 07, 2023",228386667.68439046
"January 08, 2023",227687491.5423602
"January 09, 2023",241994483.52258325
"January 10, 2023",242724516.79761103
"January 11, 2023",240497291.4902884
"January 12, 2023",245302399.30889153
"January 13, 2023",244338917.68627387
"January 14, 2023",258554844.59425554
"January 15, 2023",275840700.0863046
"January 16, 2023",274712953.54445946
"January 17, 2023",275925861.38734776
"January 18, 2023",274207548.7861513
"January 19, 2023",254783956.3864458
"January 20, 2023",256249978.05256256
"January 21, 2023",273743361.50754565
"January 22, 2023",271205485.53954494
"January 23, 2023",269775991.2816999
"January 24, 2023",268067666.96111926
"January 25, 2023",262571958.5561935
"January 26, 2023",281128472.01374966
"January 27, 2023",250822117.22996855
"January 28, 2023",266934052.60677513
"January 29, 2023",264241685.51751405
"January 30, 2023",272211164.4406227
"January 31, 2023",260543279.27119163
"February 01, 2023",260498113.03688228
"February 02, 2023",267448846.01097387
"February 03, 2023",262097243.74648815
"February 04, 2023",264586676.4200929
"February 05, 2023",261457103.69839635
"February 06, 2023",260580242.57989842
"February 07, 2023",255640344.2730057
"February 08, 2023",260186353.9047015
"February 09, 2023",256276739.69528794
"February 10, 2023",243210625.69734293
"February 11, 2023",242703603.24101478
"February 12, 2023",243144458.8235179
"February 13, 2023",244650378.7943052
"February 14, 2023",243405320.50738573
"February 15, 2023",245485677.9148633
"February 16, 2023",254655744.49390796
"February 17, 2023",250264499.9591844
"February 18, 2023",256698199.07925123
"February 19, 2023",261042023.8978265
"February 20, 2023",262775722.7048978
"February 21, 2023",270103547.06200194
"February 22, 2023",266944569.214776
"February 23, 2023",279821999.71741414
"February 24, 2023",250410875.45531064
"February 25, 2023",258689564.43917012
"February 26, 2023",256355934.2473126
"February 27, 2023",259272502.8154667
"February 28, 2023",257716580.99584877
"March 01, 2023",252293644.95104027
"March 02, 2023",255448344.08047777
"March 03, 2023",256003668.846982
"March 04, 2023",254555650.3097272
"March 05, 2023",252729238.64465916
"March 06, 2023",251685704.28705359
"March 07, 2023",248580837.6789725
"March 08, 2023",245795494.19887343
"March 09, 2023",235547448.944243
"March 10, 2023",230469070.5740564
"March 11, 2023",229443007.29817185
"March 12, 2023",222457145.520774
"March 13, 2023",235219449.80554414
"March 14, 2023",237678136.8978853
"March 15, 2023",240300813.3511876
"March 16, 2023",237305120.38481185
"March 17, 2023",239531221.5230667
"March 18, 2023",249601503.3295058
"March 19, 2023",248334261.52854022
"March 20, 2023",249522177.35446948
"March 21, 2023",283979872.1199666
"March 22, 2023",282721938.313875
"March 23, 2023",276808011.0650797
"March 24, 2023",274648883.25162435
