date,ethereum_compound,total_fees
2020-06-04,113.77837781239985,113.77837781239985
2020-06-05,108.00375400115982,108.00375400115982
2020-06-06,107.73810231280555,107.73810231280555
2020-06-07,108.91429952623022,108.91429952623022
2020-06-08,115.65479521648392,115.65479521648392
2020-06-09,108.68936144750927,108.68936144750927
2020-06-10,133.0203389543517,133.0203389543517
2020-06-11,105.27993082166586,105.27993082166586
2020-06-12,109.65354401587041,109.65354401587041
2020-06-13,127.57709433442642,127.57709433442642
2020-06-14,127.71288181613095,127.71288181613095
2020-06-15,114.32152277223945,114.32152277223945
2020-06-16,95.90160478222559,95.90160478222559
2020-06-17,95.28695860583811,95.28695860583811
2020-06-18,92.7155669014468,92.7155669014468
2020-06-19,2374.1338558822717,2374.1338558822717
2020-06-20,9814.782738612445,9814.782738612445
2020-06-21,18798.53448730556,18798.53448730556
2020-06-22,23075.09952969966,23075.09952969966
2020-06-23,22641.47120603954,22641.47120603954
2020-06-24,22631.13613063263,22631.13613063263
2020-06-25,24965.36164507551,24965.36164507551
2020-06-26,55968.03215637462,55968.03215637462
2020-06-27,120704.69823140492,120704.69823140492
2020-06-28,125094.7911476953,125094.7911476953
2020-06-29,130552.52294666987,130552.52294666987
2020-06-30,131535.36942364534,131535.36942364534
2020-07-01,111456.40353161565,111456.40353161565
2020-07-02,12002.85531830595,12002.85531830595
2020-07-03,10247.45813762481,10247.45813762481
2020-07-04,9316.86193469163,9316.86193469163
2020-07-05,9361.367818589744,9361.367818589744
2020-07-06,9734.355621395216,9734.355621395216
2020-07-07,9694.290631553004,9694.290631553004
2020-07-08,9555.482067700388,9555.482067700388
2020-07-09,9516.085167997831,9516.085167997831
2020-07-10,9279.817177962459,9279.817177962459
2020-07-11,9508.817601488176,9508.817601488176
2020-07-12,10208.702808083215,10208.702808083215
2020-07-13,9238.763444497281,9238.763444497281
2020-07-14,9017.541680062051,9017.541680062051
2020-07-15,8476.193814008797,8476.193814008797
2020-07-16,8382.967152024536,8382.967152024536
2020-07-17,7787.667354671091,7787.667354671091
2020-07-18,8731.914065550096,8731.914065550096
2020-07-19,9918.811902361756,9918.811902361756
2020-07-20,10059.85621004285,10059.85621004285
2020-07-21,10441.578106418825,10441.578106418825
2020-07-22,11336.256946886211,11336.256946886211
2020-07-23,10040.298489329532,10040.298489329532
2020-07-24,8431.074864692651,8431.074864692651
2020-07-25,6699.025688206634,6699.025688206634
2020-07-26,6942.583608468651,6942.583608468651
2020-07-27,14140.339726001495,14140.339726001495
2020-07-28,19585.163508813774,19585.163508813774
2020-07-29,18190.11690883785,18190.11690883785
2020-07-30,12488.911923898862,12488.911923898862
2020-07-31,12856.204159261404,12856.204159261404
2020-08-01,14043.108190256891,14043.108190256891
2020-08-02,11874.583641113544,11874.583641113544
2020-08-03,10161.609985822783,10161.609985822783
2020-08-04,10557.819570834394,10557.819570834394
2020-08-05,11810.944497253247,11810.944497253247
2020-08-06,12045.025532648997,12045.025532648997
2020-08-07,11295.263076753621,11295.263076753621
2020-08-08,12196.985329311126,12196.985329311126
2020-08-09,10736.121135853598,10736.121135853598
2020-08-10,10945.912821879094,10945.912821879094
2020-08-11,12848.266467931633,12848.266467931633
2020-08-12,14526.747779112078,14526.747779112078
2020-08-13,13304.714974718458,13304.714974718458
2020-08-14,10615.026962099151,10615.026962099151
2020-08-15,11246.860099822676,11246.860099822676
2020-08-16,10982.419931397306,10982.419931397306
2020-08-17,11145.161562154746,11145.161562154746
2020-08-18,10707.06269751316,10707.06269751316
2020-08-19,10606.016253800792,10606.016253800792
2020-08-20,12047.245239218235,12047.245239218235
2020-08-21,11474.77296353826,11474.77296353826
2020-08-22,12175.590590976275,12175.590590976275
2020-08-23,12519.165626337799,12519.165626337799
2020-08-24,11513.40404693703,11513.40404693703
2020-08-25,12240.065079461056,12240.065079461056
2020-08-26,11951.389339683326,11951.389339683326
2020-08-27,12780.85688279745,12780.85688279745
2020-08-28,12940.989045792441,12940.989045792441
2020-08-29,13493.420285124454,13493.420285124454
2020-08-30,15441.46299366307,15441.46299366307
2020-08-31,14875.239573711757,14875.239573711757
2020-09-01,15635.27781865859,15635.27781865859
2020-09-02,13140.342265256715,13140.342265256715
2020-09-03,11162.3716515993,11162.3716515993
2020-09-04,10586.278692504424,10586.278692504424
