date,avax_AAVE V2,avax_AAVE V3,ethereum_AAVE V2,ethereum_AAVE V3,fantom_AAVE V2,fantom_AAVE V3,harmony_AAVE V2,harmony_AAVE V3,optimism_AAVE V2,optimism_AAVE V3,polygon_AAVE V2,polygon_AAVE V3,total_fees
2022-05-27,11600.397136511905,60775.31126325379,217815.35494807333,0,0,590.1786518158435,0,243.831118968287,0,167.6232799832378,20233.035778139387,1671.1421836278814,313096.87436037365
2022-05-28,10906.054484981461,59776.07713229419,215571.9032466544,0,0,874.7150885966964,0,256.92075218319644,0,113.2473443866238,16611.72287074015,1765.684723464561,305876.32564330124
2022-05-29,7466.065531142127,66716.48288133221,200934.90488442258,0,0,766.7569624426385,0,261.5968172809706,0,126.37145643761993,16178.316529340644,1811.3827101556947,294261.87777255446
2022-05-30,7953.87997961196,67468.49705783864,227999.16079901732,0,0,697.1603262554409,0,284.38142963993334,0,149.74433035082788,15689.0301156934,1720.494427204025,321962.3484656116
2022-05-31,8579.972080850534,69204.9814393838,218594.3336083249,0,0,792.0570961329217,0,282.0203742006003,0,142.55568718002706,17996.361144461047,1582.121891201617,317174.40332173544
2022-06-01,9146.727180603595,167076.26917241112,229611.2276844603,0,0,425.1628588197879,0,183.40553365312303,0,150.5838656652753,19075.05278917606,1647.991536270633,427316.4206210599
2022-06-02,10932.789774934477,209654.01698194313,218866.43621166746,0,0,378.13150708486825,0,184.68138788793192,0,258.2383303002099,16122.498129180525,1597.005271045476,457993.79759404407
2022-06-03,10197.281702185022,255579.86485349154,213273.07380656566,0,0,299.71666021241606,0,175.66836560359764,0,417.6466814000743,15433.451410996127,1549.7622066958768,496926.46568715037
2022-06-04,7533.851184406203,270898.8474466631,225419.06516092204,0,0,279.305962723756,0,172.63069932267933,0,274.9943356310254,14264.221028471218,1556.2917937721975,520399.20761191216
2022-06-05,7380.795416647071,273441.7421865748,221198.04056977996,0,0,234.78355192582853,0,169.96114789357122,0,334.1833965340459,14693.159564481894,1600.9269327972338,519053.59276663436
2022-06-06,7425.951062808635,307171.1761100872,236443.4480939148,0,0,410.4573549649674,0,181.77152190241284,0,290.59620444421,14907.547028294042,1655.9858567087463,568486.933233125
2022-06-07,7637.599683605014,301051.4255220286,243349.56141939858,0,0,219.5372373959362,0,176.50510814831043,0,303.2207136963262,14784.328648677027,1664.4942508846198,569186.6725838344
2022-06-08,7247.570691633504,315710.9782189827,232560.4531146487,0,0,230.64829105634658,0,175.74465464018624,0,323.53608431690867,14930.906592150171,1643.6278161246832,572823.4654635532
2022-06-09,6831.089504925657,312807.54613426066,225236.80878721623,0,0,233.17917410405659,0,173.72820541719184,0,235.56738295364553,15367.390057257233,1614.21911572766,562499.5283618623
2022-06-10,7434.532744283406,308232.89739348565,226402.5270751761,0,0,313.94393206692115,0,187.21460078943653,0,274.2482109799033,17198.11684934327,1622.3381276883842,561665.8189338131
2022-06-11,6542.465087542691,303238.1795642751,209345.43390485633,0,0,273.5741390191121,0,209.0190564948099,0,291.39826294254425,17858.75531592191,1701.3402459955241,539460.165577048
2022-06-12,4976.758058496641,313763.45688377495,198856.87645512537,0,0,804.9036062029252,0,205.17865890303707,0,236.2333203393525,14753.364728608847,1853.3570295552345,535450.1287410064
2022-06-13,5690.180650814919,288952.4124969789,185184.04411772653,0,0,872.1652709015499,0,201.74439048771634,0,251.21060837902812,17298.462771695504,2155.07508324608,500605.29539023025
2022-06-14,3572.950269377301,219447.6847015891,183013.9941191571,0,0,449.1025103687302,0,187.42399408662155,0,171.14061921166459,10749.681505801882,1730.595455231537,419322.573174824
2022-06-15,2910.4032291741305,222725.9363035004,174281.0827743184,0,0,442.22398470445233,0,271.20851435463715,0,173.40817549254703,16259.388046017162,2190.3350729704375,419253.9861005322
2022-06-16,2747.982948636057,218363.96764756265,649101.1047187198,0,0,513.2936251147617,0,119.08714419970273,0,190.47313521091004,11268.087440336996,1874.875629791791,884178.8722895727
2022-06-17,2260.4971075513727,213473.24356426208,137354.8577202676,0,0,521.6061539750223,0,124.96066786285468,0,168.84594727387181,8822.594178421226,1662.1469384518114,364388.75227806583
2022-06-18,2639.995969824184,215049.48016615547,148889.56320779215,0,0,278.7167906626828,0,120.5855446044065,0,177.45020645298456,9771.274750702472,2341.4129554543624,379268.47959164873
