date,volume
2020-11-22,667991798.4548239
2020-11-23,877026905.3319308
2020-11-24,3685456927.9659452
2020-11-25,3261289396.4788537
2020-11-26,2380252416.887201
2020-11-27,2222086481.242409
2020-11-28,1909522436.233778
2020-11-29,971536825.1010742
2020-11-30,1025249726.2514926
2020-12-01,882302385.2363856
2020-12-02,556957240.2577609
2020-12-03,471299363.022211
2020-12-04,538644843.2670338
2020-12-05,401581723.7331497
2020-12-06,398207795.1812764
2020-12-07,297977837.83128834
2020-12-08,415906415.5670685
2020-12-09,916754161.9258169
2020-12-10,717585550.8127123
2020-12-11,587799500.854856
2020-12-12,486165275.1744203
2020-12-13,675793373.105618
2020-12-14,512308142.2459682
2020-12-15,462571053.512906
2020-12-16,832119285.9557287
2020-12-17,1501200453.802461
2020-12-18,796474026.5261391
2020-12-19,465024754.3224027
2020-12-20,440430444.95337147
2020-12-21,502357296.6470589
2020-12-22,653386141.8236616
2020-12-23,1197129430.4496121
2020-12-24,1631324608.0804543
2020-12-25,845396524.1482338
2020-12-26,516890732.80408907
2020-12-27,737765973.1526512
2020-12-28,550136242.8040391
2020-12-29,748238122.5165625
2020-12-30,558571735.7301415
2020-12-31,487386340.90067613
2021-01-01,495202657.6579205
2021-01-02,459698581.07161945
2021-01-03,702400653.8309244
2021-01-04,1735007376.5941522
2021-01-05,2621535350.5071435
2021-01-06,10468792259.681915
2021-01-07,5052844176.568417
2021-01-08,3651926958.988564
2021-01-09,2260622213.546394
2021-01-10,1920775765.006056
2021-01-11,2560068101.522617
2021-01-12,2961889337.09321
2021-01-13,1955018523.7142541
2021-01-14,1773211913.190638
2021-01-15,1564358879.991196
2021-01-16,1576543275.0254478
2021-01-17,1902930736.683346
2021-01-18,1021588552.315657
2021-01-19,1487841104.7681139
2021-01-20,1159113447.3252518
2021-01-21,1051553044.3306972
2021-01-22,1392965837.938596
2021-01-23,876851626.5476049
2021-01-24,810336294.1970454
2021-01-25,702305257.4596215
2021-01-26,641152106.8945385
2021-01-27,644998996.4464632
2021-01-28,1434707332.8787496
2021-01-29,4780310770.319037
2021-01-30,3660945625.76241
2021-01-31,2145624846.0750735
2021-02-01,3397795041.1913276
2021-02-02,2040711573.3302588
2021-02-03,1415384966.5115314
2021-02-04,1372840515.936
2021-02-05,2067019575.5301666
2021-02-06,2179349111.100611
2021-02-07,3829102420.3830404
2021-02-08,2130425397.4387743
2021-02-09,1715358060.059111
2021-02-10,3040157259.823537
2021-02-11,3048405470.1474376
2021-02-12,3434142327.8141627
2021-02-13,4271850049.339823
2021-02-14,2794721198.0937138
2021-02-15,2984599288.107589
2021-02-16,1916635789.7105656
2021-02-17,1764759459.5528564
2021-02-18,1647389258.7951796
2021-02-19,1717452707.6137326
2021-02-20,2082739775.7404797
2021-02-21,1617728885.3462694
2021-02-22,2370383038.47894
2021-02-23,2816264372.9715853
2021-02-24,1601490733.5390866
2021-02-25,1117538215.0230033
2021-02-26,1424084868.3841243
2021-02-27,2631683357.696171
2021-02-28,1743037489.2539632
2021-03-01,1214314919.452067
2021-03-02,1245349746.2783518
2021-03-03,1146364385.9593294
2021-03-04,1045746006.6952007
2021-03-05,902035319.6546645
2021-03-06,644575692.3846859
2021-03-07,771651277.6747172
2021-03-08,804898503.1296997
2021-03-09,980352046.5416837
2021-03-10,917738955.3439533
2021-03-11,837736745.5270373
2021-03-12,866882214.8278424
2021-03-13,1042144463.8252091
2021-03-14,726403656.5816927
2021-03-15,915685375.9081595
2021-03-16,1255159896.4869688
2021-03-17,906459478.8292208
2021-03-18,771032960.1268748
2021-03-19,722987829.5922631
2021-03-20,1382390329.696951
2021-03-21,1035956729.4924941
2021-03-22,1337310404.3815079
2021-03-23,951962395.7657444
2021-03-24,771658040.1064439
2021-03-25,900462855.6649975
2021-03-26,834738360.3408115
2021-03-27,632176409.4877234
2021-03-28,1281955773.150732
2021-03-29,843731657.8648634
2021-03-30,770147065.6899593
2021-03-31,916052540.8731014
2021-04-01,1314764720.1839511
2021-04-02,1901382080.4217465
2021-04-03,1266465891.7831492
2021-04-04,1049261809.2720535
2021-04-05,3604915566.8959837
2021-04-06,3755374947.627136
2021-04-07,2171208617.672125
2021-04-08,1399055192.1524272
2021-04-09,1098172730.66897
2021-04-10,3438052569.314198
2021-04-11,5340083345.522782
2021-04-12,2472905335.11925
2021-04-13,3829776981.815618
2021-04-14,3356292796.2496414
2021-04-15,1710974186.281765
2021-04-16,2095635703.7790818
2021-04-17,1561668884.1219337
2021-04-18,2439209558.692721
2021-04-19,1703034491.0459318
2021-04-20,1635151550.6416037
2021-04-21,1352026646.3276105
2021-04-22,1515333506.15157
2021-04-23,2424638300.323239
2021-04-24,1285121401.3120148
2021-04-25,1113786156.0073688
2021-04-26,1463038139.35905
2021-04-27,1449720276.5777736
2021-04-28,1087856273.5393384
2021-04-29,851945420.7541546
2021-04-30,1505454105.1503305
2021-05-01,969725681.9144337
2021-05-02,1305043614.540511
2021-05-03,1294340930.22554
2021-05-04,1451046054.2104013
2021-05-05,2561180112.173113
2021-05-06,4439932379.454363
2021-05-07,2994436248.0361013
2021-05-08,1523175656.3193023
2021-05-09,1891978622.4088643
2021-05-10,6066514606.083645
2021-05-11,4215842030.5338435
2021-05-12,2684565004.8035064
2021-05-13,3382709220.305709
2021-05-14,2738858359.9192863
2021-05-15,3715824136.923959
2021-05-16,4598328155.772257
2021-05-17,3131423013.731487
2021-05-18,2444767977.648235
2021-05-19,3684005563.577686
2021-05-20,2424388410.6635256
2021-05-21,1850208795.2159755
2021-05-22,1434559863.2493367
2021-05-23,1938698204.1672652
2021-05-24,2259085866.863056
2021-05-25,1893237414.1990037
2021-05-26,1696305212.7109735
2021-05-27,1436739779.6384954
2021-05-28,1643355768.2219853
2021-05-29,1353990885.9374425
2021-05-30,929746579.8177903
2021-05-31,1046830703.3103161
2021-06-01,1846989589.2572882
2021-06-02,1109899162.0601113
2021-06-03,884301206.3676523
2021-06-04,933614042.3410221
2021-06-05,897968912.6255369
2021-06-06,649074382.320411
2021-06-07,645239201.7119347
2021-06-08,993542503.7144381
2021-06-09,922082909.952647
2021-06-10,848547495.4304988
2021-06-11,766154258.6842405
2021-06-12,778746156.8606968
2021-06-13,802296670.8491666
2021-06-14,909490006.8983477
2021-06-15,844886750.2770187
2021-06-16,831859204.5626261
2021-06-17,701841860.3240807
2021-06-18,518251189.3655986
2021-06-19,380178808.77817386
2021-06-20,477135807.2963794
2021-06-21,646104106.2015264
2021-06-22,917687080.0192633
2021-06-23,648535893.207601
