Date,goldfinch-borrowed,goldfinch-Ethereum-borrowed,goldfinch-Ethereum
2022-04-11,66119982.02359,66119982.02359,28707018.45758
2022-04-12,66112821.65454,66112821.65454,28750336.3344
2022-04-13,74007433.5356,74007433.5356,18851261.06274
2022-04-14,74225725.91927,74225725.91927,19890655.66642
2022-04-15,74335305.5628,74335305.5628,20037012.97151
2022-04-16,74335305.5628,74335305.5628,20941250.16132
2022-04-17,74182327.81109,74182327.81109,20578060.99176
2022-04-18,74249534.05638,74249534.05638,20603050.36188
2022-04-19,74202378.29311,74202378.29311,21518309.28637
2022-04-20,74216859.19679,74216859.19679,21433875.39839
2022-04-21,74206759.69474,74206759.69474,21548105.98534
2022-04-22,74215596.75625,74215596.75625,22234877.42982
2022-04-23,74250796.49135,74250796.49135,22215894.60393
2022-04-24,74261044.51549,74261044.51549,22301797.21927
2022-04-25,74261044.51549,74261044.51549,22590851.61372
2022-04-26,74204012.03133,74204012.03133,22714881.77555
2022-04-27,82061890.51737,82061890.51737,13370283.73556
2022-04-28,82065756.78646,82065756.78646,13310050.56152
2022-04-29,82148100.09201,82148100.09201,13310634.87088
2022-04-30,82045767.35264,82045767.35264,13487188.55574
2022-05-01,82092162.58174,82092162.58174,13473376.75261
2022-05-02,82139791.72651,82139791.72651,13202551.25658
2022-05-03,82094465.88026,82094465.88026,13154868.43322
2022-05-04,82209878.96422,82209878.96422,13808663.39659
2022-05-05,82238423.34702,82238423.34702,15815330.19148
2022-05-06,82194413.99281,82194413.99281,15818150.01702
2022-05-07,82037461.01767,82037461.01767,17901982.72099
2022-05-08,82073902.40551,82073902.40551,18877999.29208
2022-05-09,82424990.08784,82424990.08784,19893245.63922
2022-05-10,82342729.61869,82342729.61869,19450521.85575
2022-05-11,82260469.14954,82260469.14954,20127597.45931
2022-05-12,82342729.6122,82342729.6122,2809803.31623
2022-05-13,82424990.07887,82424990.07887,1938399.56888
2022-05-14,82342729.60973,82342729.60973,1925075.88282
2022-05-15,82507250.54801,82507250.54801,1938716.57866
2022-05-16,82589511.00975,82589511.00975,1935501.37997
2022-05-17,82507250.54061,82507250.54061,1928807.849
2022-05-18,82507250.54061,82507250.54061,1945582.78134
2022-05-19,82507250.54061,82507250.54061,1888008.70943
2022-05-20,82220490.54522,82220490.54522,1911568.7229
2022-05-21,82424990.06604,82424990.06604,1941992.21965
2022-05-22,82424990.06604,82424990.06604,1901867.66072
2022-05-23,82424990.06604,82424990.06604,2034353.88394
2022-05-24,82424990.06405,82424990.06405,1926845.10036
2022-05-25,82342729.59481,82342729.59481,1925402.05605
2022-05-26,82260469.12569,82260469.12569,1920414.35708
2022-05-27,82342729.58734,82342729.58734,1949826.84194
2022-05-28,82227893.96511,82227893.96511,1967621.08953
