Date,ribbon-lend-borrowed,ribbon-lend-Ethereum-borrowed,ribbon-lend-Ethereum
2023-04-12,38.11938,38.11938,2258917.33224
2023-04-13,38.1224,38.1224,2258198.78743
2023-04-14,38.2371,38.2371,2264094.01826
2023-04-15,38.21412,38.21412,132075.19524
2023-04-16,38.19112,38.19112,131943.25199
2023-04-17,38.19911,38.19911,131918.44666
2023-04-18,38.25969,38.25969,132075.19524
2023-04-19,38.22231,38.22231,131893.77327
2023-04-20,38.21828,38.21828,131827.53776
2023-04-21,38.2538,38.2538,131897.73157
2023-04-22,38.28129,38.28129,131940.2173
2023-04-23,38.29735,38.29735,131943.25199
2023-04-24,38.1456,38.1456,131368.37524
2023-04-25,38.29412,38.29412,131827.6697
2023-04-26,38.3173,38.3173,131855.24584
2023-04-27,38.33293,38.33293,131856.82916
2023-04-28,38.32415,38.32415,131774.49657
2023-04-29,38.32779,38.32779,131734.9136
2023-04-30,38.39851,38.39851,131925.83548
2023-05-01,38.39467,38.39467,131860.52357
2023-05-02,38.43393,38.43393,131943.25199
2023-05-03,38.39508,38.39508,131757.87172
2023-05-04,38.50274,38.50274,132075.19524
2023-05-05,38.47946,38.47946,131943.25199
2023-05-06,38.57162,38.57162,132207.1385
2023-05-07,38.58683,38.58683,132207.1385
2023-05-08,38.49852,38.49852,131852.60698
2023-05-09,38.51025,38.51025,131840.86403
2023-05-10,38.55533,38.55533,131943.25199
2023-05-11,38.45804,38.45804,131558.50547
2023-05-12,38.62427,38.62427,132075.19524
2023-05-13,38.63946,38.63946,132075.19524
2023-05-14,38.65465,38.65465,132075.19524
2023-05-15,38.62766,38.62766,131931.11321
2023-05-16,38.64639,38.64639,131943.25199
2023-05-17,38.66156,38.66156,131943.25199
2023-05-18,38.64881,38.64881,131849.57228
2023-05-19,38.69191,38.69191,131943.25199
2023-05-20,38.70562,38.70562,131938.23815
2023-05-21,38.76099,38.76099,132075.19524
2023-05-22,38.81491,38.81491,132207.1385
2023-05-23,38.68368,38.68368,131708.52495
2023-05-24,38.76519,38.76519,131934.4118
2023-05-25,38.72886,38.72886,131759.19116
2023-05-26,38.78065,38.78065,131773.21226
2023-05-27,38.8124,38.8124,131828.71404
2023-05-28,38.82862,38.82862,131833.19637
2023-05-29,38.83858,38.83858,131581.4498
2023-05-30,38.83041,38.83041,131501.56756
2023-05-31,38.86926,38.86926,131580.92339
2023-06-01,38.80639,38.80639,131316.00914
2023-06-02,38.90181,38.90181,131586.71387
2023-06-03,38.89013,38.89013,131495.11907
2023-06-04,38.93144,38.93144,131582.63421
2023-06-05,38.9915,38.9915,125306.01587
2023-06-06,38.94952,38.94952,125122.87631
2023-06-07,39.02249,39.02249,125306.01587
2023-06-08,38.99829,38.99829,125178.58178
2023-06-09,39.01447,39.01447,125180.83504
2023-06-10,39.0013,39.0013,125088.9523
2023-06-11,39.03575,39.03575,125149.79019
2023-06-12,38.97115,38.97115,124893.16948
2023-06-13,39.00332,39.00332,124946.74687
2023-06-14,39.06013,39.06013,125079.1882
2023-06-15,39.10735,39.10735,125180.83504
2023-06-16,39.09662,39.09662,125106.83199
2023-06-17,39.13142,39.13142,125168.42588
2023-06-18,39.15397,39.15397,125190.83504
2023-06-19,39.20868,39.20868,125316.02587
2023-06-20,39.18506,39.18506,125190.83504
2023-06-21,39.20061,39.20061,125190.83504
2023-06-22,39.21365,39.21365,125182.82282
2023-06-23,39.22728,39.22728,125151.6913
2023-06-24,39.28664,39.28664,125291.00087
2023-06-25,39.2629,39.2629,125165.83504
2023-06-26,39.27379,39.27379,122056.58021
2023-06-27,39.41199,39.41199,122391.98814
2023-06-28,39.2699,39.2699,121902.29816
2023-06-29,39.29218,39.29218,121923.04257
2023-06-30,39.33654,39.33654,122012.24351
2023-07-01,39.33932,39.33932,121972.46306
2023-07-02,39.37217,39.37217,122025.91041
2023-07-03,39.38781,39.38781,122025.91041
2023-07-04,39.44287,39.44287,122147.93632
2023-07-05,39.38545,39.38545,121921.70028
2023-07-06,39.42294,39.42294,121989.30264
2023-07-07,39.44762,39.44762,122017.24657
2023-07-08,39.46607,39.46607,122025.91041
2023-07-09,39.4811,39.4811,122023.95799
2023-07-10,39.61587,39.61587,122391.98814
2023-07-11,39.50885,39.50885,121971.07647
2023-07-12,39.52767,39.52767,121879.8385
2023-07-13,39.53203,39.53203,121844.85804
2023-07-14,39.50283,39.50283,121706.52069
2023-07-15,39.56185,39.56185,121839.98272
2023-07-16,39.59158,39.59158,121226.34761
2023-07-17,39.57564,39.57564,121129.36653
2023-07-18,39.62306,39.62306,121226.34761
2023-07-19,39.67844,39.67844,121347.57396
2023-07-20,39.63392,39.63392,121163.30991
2023-07-21,39.66389,39.66389,121206.83017
2023-07-22,39.6709,39.6709,121180.16037
2023-07-23,39.66721,39.66721,121120.88069
2023-07-24,39.68862,39.68862,121138.21606
2023-07-25,39.72951,39.72951,121714.90534
2023-07-26,39.74903,39.74903,121726.34761
2023-07-27,39.76437,39.76437,121726.34761
2023-07-28,39.77624,39.77624,121712.95771
2023-07-29,39.79641,39.79641,121726.34761
2023-07-30,39.81221,39.81221,121726.34761
2023-07-31,39.82241,39.82241,121667.05239
