Date,homecoin-Ethereum,homecoin-borrowed,homecoin-Ethereum-borrowed
2023-03-03,0,6604736.12608,6604736.12608
2023-03-04,0,6595947.40628,6595947.40628
2023-03-05,0,6604736.12608,6604736.12608
2023-03-06,0,6598137.98809,6598137.98809
2023-03-07,0,6598137.98809,6598137.98809
2023-03-08,0,6611334.26407,6611334.26407
2023-03-09,0,6356101.41765,6356101.41765
2023-03-10,0,6368813.62049,6368813.62049
2023-03-11,0,6308367.096,6308367.096
2023-03-12,0,6115643.74492,6115643.74492
2023-03-13,0,6306339.49965,6306339.49965
2023-03-14,0,6347863.91021,6347863.91021
2023-03-15,0,6375169.7219,6375169.7219
2023-03-16,0,6381525.82332,6381525.82332
2023-03-17,0,6381525.82332,6381525.82332
2023-03-18,0,6381525.82332,6381525.82332
2023-03-19,0,6387881.92474,6387881.92474
2023-03-20,0,6381525.82332,6381525.82332
2023-03-21,0,6400594.12757,6400594.12757
2023-03-22,0,6375169.7219,6375169.7219
2023-03-23,0,6387881.92474,6387881.92474
2023-03-24,0,6354359.84586,6354359.84586
2023-03-25,0,6387881.92474,6387881.92474
2023-03-26,0,6394238.02616,6394238.02616
2023-03-27,0,6353724.23572,6353724.23572
2023-03-28,0,6353260.24032,6353260.24032
2023-03-29,0,6362457.51907,6362457.51907
2023-03-30,0,6362457.51907,6362457.51907
2023-03-31,0,6375169.7219,6375169.7219
2023-04-01,0,6356101.41765,6356101.41765
2023-04-02,0,6362457.51907,6362457.51907
2023-04-03,0,6362457.51907,6362457.51907
2023-04-04,0,6362457.51907,6362457.51907
2023-04-05,0,6349935.99928,6349935.99928
2023-04-06,0,6368813.62049,6368813.62049
2023-04-07,0,6362457.51907,6362457.51907
2023-04-08,0,6362457.51907,6362457.51907
2023-04-09,0,6356101.41765,6356101.41765
2023-04-10,0,6368813.62049,6368813.62049
2023-04-11,0,6341978.1603,6341978.1603
2023-04-12,0,6354251.79214,6354251.79214
2023-04-13,0,6352230.55189,6352230.55189
2023-04-14,0,6368813.62049,6368813.62049
2023-04-15,0,6362457.51907,6362457.51907
2023-04-16,0,6356101.41765,6356101.41765
2023-04-17,0,6354906.47058,6354906.47058
2023-04-18,0,6362457.51907,6362457.51907
2023-04-19,0,6353717.87962,6353717.87962
2023-04-20,0,6350527.11671,6350527.11671
2023-04-21,0,6353908.56266,6353908.56266
2023-04-22,0,6355955.22732,6355955.22732
2023-04-23,0,6356101.41765,6356101.41765
2023-04-24,0,6328407.88377,6328407.88377
2023-04-25,0,6350533.47281,6350533.47281
2023-04-26,0,6351861.89801,6351861.89801
2023-04-27,0,6351938.17122,6351938.17122
2023-04-28,0,6347971.96394,6347971.96394
2023-04-29,0,6346065.13351,6346065.13351
2023-04-30,0,6355262.41226,6355262.41226
2023-05-01,0,6352116.14206,6352116.14206
2023-05-02,0,6356101.41765,6356101.41765
2023-05-03,0,6347171.09516,6347171.09516
2023-05-04,0,6362457.51907,6362457.51907
2023-05-05,0,6356101.41765,6356101.41765
2023-05-06,0,6368813.62049,6368813.62049
2023-05-07,0,6368813.62049,6368813.62049
2023-05-08,0,6351734.77598,6351734.77598
2023-05-09,0,6351169.08295,6351169.08295
2023-05-10,0,6356101.41765,6356101.41765
2023-05-11,0,6337567.02592,6337567.02592
2023-05-12,0,6362457.51907,6362457.51907
2023-05-13,0,6362457.51907,6362457.51907
2023-05-14,0,6362457.51907,6362457.51907
2023-05-15,0,6355516.65632,6355516.65632
2023-05-16,0,6356101.41765,6356101.41765
2023-05-17,0,6356101.41765,6356101.41765
2023-05-18,0,6350126.68232,6350126.68232
2023-05-19,0,6356101.41765,6356101.41765
2023-05-20,0,6355859.8858,6355859.8858
2023-05-21,0,6362457.51907,6362457.51907
2023-05-22,0,6368813.62049,6368813.62049
2023-05-23,0,6344793.91323,6344793.91323
2023-05-24,0,6355675.55886,6355675.55886
2023-05-25,0,6347234.65617,6347234.65617
2023-05-26,0,6353209.39151,6353209.39151
2023-05-27,0,6355872.87062,6355872.87062
2023-05-28,0,6375157.24457,6375157.24457
2023-05-29,0,6355110.13994,6355110.13994
2023-05-30,0,6351251.99393,6351251.99393
2023-05-31,0,6355084.71558,6355084.71558
2023-06-01,0,6342289.90847,6342289.90847
2023-06-02,0,6355364.3835,6355364.3835
2023-06-03,0,6350663.14101,6350663.14101
2023-06-04,0,6354889.75556,6354889.75556
2023-06-05,0,6362167.15955,6362167.15955
2023-06-06,0,6362167.15955,6362167.15955
2023-06-07,0,6362167.15955,6362167.15955
2023-06-08,0,6355696.9436,6355696.9436
2023-06-09,0,6355811.3482,6355811.3482
2023-06-10,0,6351146.18267,6351146.18267
2023-06-11,0,6355811.3482,6355811.3482
2023-06-12,0,6341205.69373,6341205.69373
2023-06-13,0,6343925.98098,6343925.98098
2023-06-14,0,6350650.42939,6350650.42939
2023-06-15,0,6355811.3482,6355811.3482
2023-06-16,0,6350673.51107,6350673.51107
2023-06-17,0,6353800.14041,6353800.14041
2023-06-18,0,6354937.67425,6354937.67425
2023-06-19,0,6361292.61192,6361292.61192
2023-06-20,0,6354937.67425,6354937.67425
2023-06-21,0,6354937.67425,6354937.67425
2023-06-22,0,6354530.95824,6354530.95824
2023-06-23,0,6354219.56629,6354219.56629
2023-06-24,0,6361292.61192,6361292.61192
2023-06-25,0,6314937.67425,6314937.67425
2023-06-26,0,6314179.88173,6314179.88173
2023-06-27,0,6333882.48727,6333882.48727
2023-06-28,0,6308537.78081,6308537.78081
2023-06-29,0,6309208.07795,6309208.07795
2023-06-30,0,6313824.00028,6313824.00028
2023-07-01,0,6311384.49508,6311384.49508
2023-07-02,0,6314150.09283,6314150.09283
2023-07-03,0,6314150.09283,6314150.09283
2023-07-04,0,6320446.05902,6320446.05902
2023-07-05,0,6308739.65843,6308739.65843
2023-07-06,0,6312237.68751,6312237.68751
2023-07-07,0,6313683.62373,6313683.62373
2023-07-08,0,6314131.92709,6314131.92709
2023-07-09,0,6314030.90098,6314030.90098
2023-07-10,0,6333074.32287,6333074.32287
2023-07-11,0,6313462.62911,6313462.62911
2023-07-12,0,6313961.44553,6313961.44553
2023-07-13,0,6312149.28967,6312149.28967
2023-07-14,0,6304982.74993,6304982.74993
2023-07-15,0,6311896.72439,6311896.72439
2023-07-16,0,6312426.86342,6312426.86342
2023-07-17,0,6307376.92193,6307376.92193
2023-07-18,0,6312426.86342,6312426.86342
2023-07-19,0,6318739.29028,6318739.29028
2023-07-20,0,6312426.86342,6312426.86342
2023-07-21,0,6311410.56269,6311410.56269
2023-07-22,0,6309885.15584,6309885.15584
2023-07-23,0,6306798.44596,6306798.44596
2023-07-24,0,6307701.10345,6307701.10345
2023-07-25,0,6311696.78311,6311696.78311
2023-07-26,0,6312290.13838,6312290.13838
2023-07-27,0,6312196.83999,6312196.83999
2023-07-28,0,6311502.49834,6311502.49834
2023-07-29,0,6312080.70097,6312080.70097
2023-07-30,0,6312080.70097,6312080.70097
2023-07-31,0,6312080.70097,6312080.70097
